_link,_link_release,id,title,description,status,date,value_amount,value_currency,contractPeriod_startDate,contractPeriod_endDate,datePublished
85.awards.0,85,1cd17ee5-7fdf-4295-b268-1f5d5a4fa94a,,See description of related tender,active,2021-10-29T00:00:00,10000000.0,GBP,2021-10-29T00:00:00,2025-10-28T00:00:00,2022-05-27T14:20:13
85.awards.1,85,5ca51639-b090-410d-9164-7bab9594195e,,See description of related tender,active,2021-10-29T00:00:00,10000000.0,GBP,2021-10-29T00:00:00,2025-10-28T00:00:00,2022-05-27T14:20:13
86.awards.0,86,9744c09c-459e-44af-8547-3e72a599beb8,,See description of related tender,active,2022-05-26T00:00:00,95110.0,GBP,2022-07-18T00:00:00,2022-08-19T00:00:00,2022-05-27T14:21:50
87.awards.0,87,4fdcdaa6-d020-4dbc-a216-2bc57a566a3b,,See description of related tender,active,2020-06-22T00:00:00,1816682.66,GBP,2020-06-22T00:00:00,2023-06-22T00:00:00,2020-09-04T15:16:29
90.awards.0,90,408dd2f8-6e87-4838-86c2-e2d90940d8ed,,See description of related tender,active,2022-05-25T00:00:00,50000.0,GBP,2022-05-25T00:00:00,2024-05-24T00:00:00,2022-05-27T14:27:04
91.awards.0,91,1a731a5e-d169-4f47-a45f-0e3c752eb5e0,,See description of related tender,active,2021-10-29T00:00:00,10000000.0,GBP,2021-10-29T00:00:00,2025-10-28T00:00:00,2022-05-27T14:28:59
91.awards.1,91,7ce24934-e749-4ab8-a0cf-d10000bf1075,,See description of related tender,active,2021-10-29T00:00:00,10000000.0,GBP,2021-10-29T00:00:00,2025-10-28T00:00:00,2022-05-27T14:28:59
93.awards.0,93,781128a7-b3b1-4063-9635-8118f18967f3,,See description of related tender,active,2022-04-04T00:00:00,12000000.0,GBP,2022-05-03T00:00:00,2026-05-02T00:00:00,2022-05-27T14:30:08
95.awards.0,95,fdb06db7-95b5-41ec-84ed-4bed3fa19bd3,,See description of related tender,active,2020-04-28T00:00:00,14419.0,GBP,2020-05-04T00:00:00,2020-07-31T00:00:00,2022-05-27T14:31:33
96.awards.0,96,4bddba4f-28a9-4f6f-8499-477588df2ba1,,See description of related tender,active,2022-05-27T00:00:00,3600000.0,GBP,2023-04-01T00:00:00,2026-03-31T00:00:00,2022-05-27T14:31:36
97.awards.0,97,8b63086c-a19a-47e6-96c2-607a81ed51f7,,See description of related tender,active,2022-05-23T00:00:00,73240.49,GBP,2022-04-01T00:00:00,2023-03-31T00:00:00,2022-05-27T14:37:04
105.awards.0,105,4266028b-8c7f-42ab-bee1-278b24f5ed47,,See description of related tender,active,2022-04-22T00:00:00,124000.0,GBP,2022-05-02T00:00:00,2024-05-01T00:00:00,2022-05-27T14:50:07
107.awards.0,107,50bd5374-f20c-496e-819d-b2073b09881b,,See description of related tender,active,2022-05-10T00:00:00,3200000.0,GBP,2022-05-10T00:00:00,2024-05-09T00:00:00,2022-05-27T14:52:20
108.awards.0,108,9db043c4-2dce-49b4-977d-783ca4a01ee9,,See description of related tender,active,2022-04-29T00:00:00,440210.0,GBP,2022-04-29T00:00:00,2023-04-28T00:00:00,2022-05-27T14:54:06
109.awards.0,109,63066c35-9cc4-47ff-8388-95bf774eae9b,,See description of related tender,active,2022-03-17T00:00:00,4500000.0,GBP,2022-03-01T00:00:00,2027-02-28T00:00:00,2022-05-27T15:00:21
110.awards.0,110,4d22f7dc-d1c5-4882-86db-9f296c881147,,See description of related tender,active,2022-04-19T00:00:00,3700000.0,GBP,2022-08-10T00:00:00,2023-11-01T00:00:00,2022-05-27T15:00:28
116.awards.0,116,9837f33d-fcd4-42e6-a937-5e3bf5c3c17e,,See description of related tender,active,2021-12-01T00:00:00,4953041.0,GBP,2021-12-01T00:00:00,2023-12-01T00:00:00,2022-05-26T15:41:52
117.awards.0,117,0c1d611e-8570-4685-af85-63d490c3d6ba,,See description of related tender,active,2022-05-27T00:00:00,27545.0,GBP,2022-07-25T00:00:00,2022-09-02T00:00:00,2022-05-27T15:10:23
121.awards.0,121,12707d88-554d-4f86-b744-682017f43c74,,See description of related tender,active,2022-01-20T00:00:00,28718.0,GBP,2022-01-19T00:00:00,2022-04-18T00:00:00,2022-05-27T15:14:22
121.awards.1,121,9ae31edc-250c-4b5d-85eb-842410a1f9f7,,See description of related tender,active,2022-01-20T00:00:00,28718.0,GBP,2022-01-19T00:00:00,2022-04-18T00:00:00,2022-05-27T15:14:22
122.awards.0,122,beb20319-82c2-452e-bc52-36be217396b3,,See description of related tender,active,2022-05-16T00:00:00,,GBP,2022-03-28T00:00:00,2024-03-28T00:00:00,2022-05-27T15:19:27
125.awards.0,125,9b4aecc4-2c06-4b56-8a57-64551100f8e4,,See description of related tender,active,2022-04-25T00:00:00,3000000.0,GBP,2022-04-25T00:00:00,2023-03-31T00:00:00,2022-05-27T15:24:23
124.awards.0,124,7dc34964-ae8b-4809-9170-2a5efd8403ba,,See description of related tender,active,2022-05-24T00:00:00,32320.0,GBP,2022-05-24T00:00:00,2022-08-01T00:00:00,2022-05-27T15:23:12
126.awards.0,126,86b97583-b001-4596-98b0-d33d230d7f85,,See description of related tender,active,2020-09-09T00:00:00,5569554.37,GBP,2020-09-09T00:00:00,2023-09-08T00:00:00,2020-09-30T15:49:59
129.awards.0,129,d43fcc00-9803-4826-8fba-21d60e0095b4,,See description of related tender,active,2022-05-27T00:00:00,56298.5,GBP,2022-06-01T00:00:00,2023-06-01T00:00:00,2022-03-22T16:00:14
138.awards.0,138,3d4970d7-41e6-4c12-a41f-98343698ddd9,,See description of related tender,active,2022-05-23T00:00:00,20000.0,GBP,2022-04-01T00:00:00,2024-03-31T00:00:00,2022-05-27T15:42:20
139.awards.0,139,3e058ee6-eb23-418d-9c76-65b49fbec1f0,,See description of related tender,active,2022-05-24T00:00:00,188026.8,GBP,2022-05-24T00:00:00,2027-05-23T00:00:00,2022-05-27T15:48:07
143.awards.0,143,5d520245-fe79-439f-95e3-078def562440,,See description of related tender,active,2022-01-21T00:00:00,26835.0,GBP,2022-01-22T00:00:00,2022-12-31T00:00:00,2022-05-27T15:57:16
144.awards.0,144,ade0089c-9efd-4dca-8c95-6974950370a8,,See description of related tender,active,2022-04-15T00:00:00,40000.0,GBP,2022-04-18T00:00:00,2022-10-31T00:00:00,2022-05-27T15:58:09
145.awards.0,145,d67f09e2-8a6e-4fba-8ddd-21c71690a5f7,,See description of related tender,active,2022-05-26T00:00:00,13066.66,GBP,2022-05-27T00:00:00,2022-10-31T00:00:00,2022-05-27T16:00:15
146.awards.0,146,ab29f007-54dd-41c4-b267-a8a7fc8eec9a,,See description of related tender,active,2022-05-17T00:00:00,18800.0,GBP,2022-05-17T00:00:00,2022-06-24T00:00:00,2022-05-27T15:31:32
149.awards.0,149,5f9b6dd9-08cf-4393-978d-a27755d0d84a,,See description of related tender,active,2022-05-11T00:00:00,363350.0,GBP,2022-04-29T00:00:00,2024-03-31T00:00:00,2022-05-27T16:15:57
151.awards.0,151,23c9af67-9828-4230-b1fc-4afaf9ffe6e3,,See description of related tender,active,2022-05-16T00:00:00,1508257.0,GBP,2022-05-31T00:00:00,2025-05-30T00:00:00,2022-05-27T16:18:40
153.awards.0,153,f30f469c-0f8f-42f8-b6c9-dfe7c14cd11a,,See description of related tender,active,2021-09-01T00:00:00,25000.0,GBP,2021-09-01T00:00:00,2022-08-31T00:00:00,2022-05-27T16:20:16
155.awards.0,155,d0994a14-6392-44e7-8e9d-fe91795a4a1e,,See description of related tender,active,2021-01-28T00:00:00,272460.0,GBP,2021-02-01T00:00:00,2022-04-05T00:00:00,2022-05-27T16:28:45
160.awards.0,160,86490b10-d5e0-4577-9431-f2bf77de47eb,,See description of related tender,active,2022-04-28T00:00:00,2271543.0,GBP,2022-08-23T00:00:00,2031-03-31T00:00:00,2022-05-27T16:32:23
165.awards.0,165,83451fc2-edc9-4d03-aed8-09e87b3aa196,,See description of related tender,active,2022-05-27T00:00:00,76815.0,GBP,2022-06-13T00:00:00,2023-06-12T00:00:00,2022-05-27T16:42:26
167.awards.0,167,b66ebb5d-00f5-4fe0-92d2-345d4f3c9921,,See description of related tender,active,2021-08-31T00:00:00,2200000.0,GBP,2021-09-01T00:00:00,2025-08-31T00:00:00,2022-05-27T16:47:23
168.awards.0,168,b742ed52-86a5-4e67-bed1-7f2ea2645e4d,,See description of related tender,active,2022-03-22T00:00:00,10589340.0,GBP,2022-04-01T00:00:00,2037-03-31T00:00:00,2022-05-27T16:57:03
169.awards.0,169,54e4c26b-389f-4fb1-9027-be3a56b84fe6,,See description of related tender,active,2022-04-14T00:00:00,770309.37,GBP,2022-05-01T00:00:00,2025-04-30T00:00:00,2022-05-27T16:57:05
170.awards.0,170,0b6d2fbc-8fa0-40b3-b671-7d87cfa19486,,See description of related tender,active,2022-04-28T00:00:00,1.0,GBP,2022-05-02T00:00:00,2023-08-01T00:00:00,2022-05-27T16:57:27
171.awards.0,171,a6857d5a-29f2-40da-88fc-b0ce514b4b90,,See description of related tender,active,2022-03-31T00:00:00,1875937.0,GBP,2022-03-31T00:00:00,2027-03-30T00:00:00,2022-05-27T17:05:22
172.awards.0,172,d0144034-ba11-41e8-aec6-0c04d58fd9d4,,See description of related tender,active,2022-03-31T00:00:00,480000.0,GBP,2022-05-16T00:00:00,2025-05-15T00:00:00,2022-05-27T17:29:05
174.awards.0,174,ee749502-00d6-4a35-8201-65a2defcbbed,,See description of related tender,active,2022-05-12T00:00:00,127908.0,GBP,2022-05-16T00:00:00,2025-03-31T00:00:00,2022-05-27T17:33:21
175.awards.0,175,075f7d71-bd14-4b47-b710-e171c71a6bcb,,See description of related tender,active,2020-06-10T00:00:00,456819.0,GBP,2020-07-01T00:00:00,2022-08-31T00:00:00,2022-05-27T17:33:33
176.awards.0,176,e5e49c5d-6266-4583-b915-2c1a299ab66c,,See description of related tender,active,2022-04-22T00:00:00,130416.0,GBP,2022-04-26T00:00:00,2025-03-31T00:00:00,2022-05-27T16:54:25
177.awards.0,177,de01ed53-2674-42cc-8925-ef84d968a44d,,See description of related tender,active,2022-04-01T00:00:00,27000.0,GBP,2022-05-03T00:00:00,2025-05-02T00:00:00,2022-05-27T17:36:20
178.awards.0,178,92928728-b785-4832-b02d-acbd5ad805df,,See description of related tender,active,2022-05-27T00:00:00,190000.0,GBP,2022-06-01T00:00:00,2024-05-31T00:00:00,2021-03-10T13:53:38
182.awards.0,182,bbcf98bb-7f55-4f2b-86de-b7ea270398f2,,See description of related tender,active,2022-05-27T00:00:00,2271543.0,GBP,2022-08-23T00:00:00,2031-03-31T00:00:00,2022-05-27T17:45:11
183.awards.0,183,576710ab-e35a-4c56-b3ff-cc82f36ba20b,,See description of related tender,active,2022-05-27T00:00:00,29900.0,GBP,2022-06-01T00:00:00,2023-05-31T00:00:00,2022-05-27T17:46:34
185.awards.0,185,bd02afde-7b28-4543-bcfe-0a3421e01155,,See description of related tender,active,2022-04-22T00:00:00,75000.0,GBP,2022-04-27T00:00:00,2022-10-31T00:00:00,2022-05-27T17:57:31
189.awards.0,189,d3adda57-b5de-45f7-94e1-708614db4fe6,,See description of related tender,active,2022-02-10T00:00:00,47844.0,GBP,2022-02-14T00:00:00,2024-12-20T00:00:00,2022-05-27T18:09:31
193.awards.0,193,e395dfb9-1f99-4fba-8b04-d3e48f792e3e,,See description of related tender,active,2018-12-19T00:00:00,109805.0,GBP,2019-03-18T00:00:00,2023-10-31T00:00:00,2022-05-27T18:54:09
202.awards.0,202,90a39a1b-62e4-4d60-a506-e554d095d91c,,See description of related tender,active,2022-03-24T00:00:00,374442.0,GBP,2022-03-28T00:00:00,2023-03-27T00:00:00,2022-05-26T16:18:14
205.awards.0,205,bc05ea57-fe95-41f9-9215-43e4288c8370,,See description of related tender,active,2022-04-25T00:00:00,63180.0,GBP,2022-04-25T00:00:00,2025-04-24T00:00:00,2022-05-26T16:24:24
207.awards.0,207,8cba0321-169a-4cb9-a45c-bada93333837,,See description of related tender,active,2022-05-25T00:00:00,11376.0,GBP,2022-05-26T00:00:00,2022-06-30T00:00:00,2022-05-26T16:25:13
209.awards.0,209,ce0271bb-b840-48d5-b690-ece177665f8e,,See description of related tender,active,2022-05-26T00:00:00,31518.28,GBP,2022-07-25T00:00:00,2022-08-29T00:00:00,2022-05-26T16:29:38
210.awards.0,210,8723450e-5a18-41ca-9075-a9632b8e2d62,,See description of related tender,active,2021-07-30T00:00:00,21000.0,GBP,2021-07-31T00:00:00,2022-07-30T00:00:00,2022-05-26T16:29:44
211.awards.0,211,b5f5d684-ffb2-499e-8b2c-25fc98e7e6e1,,See description of related tender,active,2022-05-24T00:00:00,281400.0,GBP,2022-07-18T00:00:00,2025-07-17T00:00:00,2022-05-26T16:30:03
215.awards.0,215,58b58166-aa45-4243-bd7b-f6e69850bac9,,See description of related tender,active,2022-05-26T00:00:00,71976.0,GBP,2022-05-31T00:00:00,2023-03-31T00:00:00,2022-05-26T16:43:01
216.awards.0,216,4c3aed29-51a8-4bec-89c9-3b152231f049,,See description of related tender,active,2022-05-06T00:00:00,20729.16,GBP,2022-05-09T00:00:00,2023-05-08T00:00:00,2022-05-26T16:44:06
217.awards.0,217,b93d4ede-3f38-4ce1-9bda-f3af8a779ddc,,See description of related tender,active,2022-05-06T00:00:00,50000.0,GBP,2022-05-16T00:00:00,2023-05-15T00:00:00,2022-05-26T16:46:22
219.awards.0,219,d3efd337-c37d-4afc-b260-6e439c72e9f1,,See description of related tender,active,2022-05-23T00:00:00,75000.0,GBP,2022-05-26T00:00:00,2022-10-31T00:00:00,2022-05-26T16:48:22
220.awards.0,220,be019e8f-b5ef-4bd0-a040-dcfcedb8b0fd,,See description of related tender,active,2020-05-25T00:00:00,55553.0,GBP,2020-05-26T00:00:00,2023-05-25T00:00:00,2020-06-01T14:32:47
221.awards.0,221,d9981ed8-a2f4-40fa-88ec-8c0a68d972ff,,See description of related tender,active,2022-05-26T00:00:00,1226.85,GBP,2022-05-27T00:00:00,2022-05-28T00:00:00,2022-05-26T16:51:14
223.awards.0,223,2e58e6d0-3751-4157-958f-f54afef15198,,See description of related tender,active,2021-11-10T00:00:00,978614.0,GBP,2022-05-26T00:00:00,2023-11-23T00:00:00,2022-05-26T16:55:19
225.awards.0,225,a7c1acd8-6fc3-4b69-9adc-253839416a9d,,See description of related tender,active,2022-05-03T00:00:00,22364.0,GBP,2022-05-01T00:00:00,2022-06-30T00:00:00,2022-05-26T16:57:24
225.awards.1,225,7c198643-9c9f-4882-94fd-613a0ab043b5,,See description of related tender,active,2022-05-03T00:00:00,18637.0,GBP,2022-05-01T00:00:00,2022-06-30T00:00:00,2022-05-26T16:57:24
226.awards.0,226,89bc9c6c-f591-4fd0-b213-0beca23119eb,,See description of related tender,active,2022-03-29T00:00:00,1156782.31,GBP,2022-05-02T00:00:00,2024-04-05T00:00:00,2022-05-26T17:00:01
230.awards.0,230,339c223d-fa9c-420c-8504-a027c740936f,,See description of related tender,active,2022-02-18T00:00:00,930000.0,GBP,2022-06-01T00:00:00,2025-05-31T00:00:00,2022-05-26T17:07:11
231.awards.0,231,9b81dfdd-2a4f-4716-a68f-67a3e1ec831d,,See description of related tender,active,2022-03-02T00:00:00,43320.0,GBP,2022-03-07T00:00:00,2024-03-06T00:00:00,2022-05-26T17:16:32
234.awards.0,234,c0084c0b-1ae4-46c1-b247-11cc6fb4cda2,,See description of related tender,active,2022-04-12T00:00:00,67725.0,GBP,2022-04-12T00:00:00,2023-06-30T00:00:00,2022-05-26T17:29:57
235.awards.0,235,0a4293f9-360d-4097-80e6-7f1674c42ced,,See description of related tender,active,2022-05-18T00:00:00,33978.6,GBP,2022-05-19T00:00:00,2024-05-18T00:00:00,2022-05-26T17:35:13
239.awards.0,239,35bd6398-7cb2-4b2f-a0c4-4d9c40802360,,See description of related tender,active,2021-11-10T00:00:00,7500000.0,GBP,2021-07-29T00:00:00,2025-07-28T00:00:00,2022-05-26T17:52:16
239.awards.1,239,f3bc15de-166d-4253-8c43-7a0edef89e7a,,See description of related tender,active,2021-11-10T00:00:00,7500000.0,GBP,2021-07-29T00:00:00,2025-07-28T00:00:00,2022-05-26T17:52:16
242.awards.0,242,ea51bbde-0966-4d27-ad2e-a1e527c52a99,,See description of related tender,active,2022-05-03T00:00:00,98340.0,GBP,2022-05-04T00:00:00,2023-09-30T00:00:00,2022-05-26T18:05:44
243.awards.0,243,5114b113-7459-4ff0-a2e7-7e559bf57a01,,See description of related tender,active,2022-03-02T00:00:00,7500000.0,GBP,2022-02-18T00:00:00,2026-02-17T00:00:00,2022-05-26T18:06:05
243.awards.1,243,7dc11b37-a143-440c-9106-f06813942319,,See description of related tender,active,2022-03-02T00:00:00,7500000.0,GBP,2022-02-18T00:00:00,2026-02-17T00:00:00,2022-05-26T18:06:05
246.awards.0,246,b30175cc-158b-4621-92da-89753beacc8b,,See description of related tender,active,2022-02-09T00:00:00,40000000.0,GBP,2022-01-31T00:00:00,2026-01-30T00:00:00,2022-05-26T18:21:59
246.awards.1,246,b745eb92-a2a7-4f0f-a705-3cd73f70971b,,See description of related tender,active,2022-02-09T00:00:00,40000000.0,GBP,2022-01-31T00:00:00,2026-01-30T00:00:00,2022-05-26T18:21:59
248.awards.1,248,6a2b8b9d-14fe-4f86-aa75-09d4d79274a5,,See description of related tender,active,2021-11-03T00:00:00,45000000.0,GBP,2021-10-11T00:00:00,2025-10-10T00:00:00,2022-05-26T18:40:02
248.awards.0,248,eab0b465-b27f-4448-be87-1a4343590d34,,See description of related tender,active,2021-11-03T00:00:00,45000000.0,GBP,2021-10-11T00:00:00,2025-10-10T00:00:00,2022-05-26T18:40:02
249.awards.0,249,0675ba8c-eb8d-49c2-8c08-9504ffe8ed5f,,See description of related tender,active,2022-05-26T00:00:00,99000.0,GBP,2022-05-30T00:00:00,2022-12-31T00:00:00,2022-05-26T19:14:54
250.awards.0,250,46e3bfc5-420a-439e-861e-40731e2ad194,,See description of related tender,active,2022-04-22T00:00:00,3000000.0,GBP,2022-04-25T00:00:00,2024-04-24T00:00:00,2022-05-20T12:11:21
251.awards.0,251,88c1b7fb-e885-4d74-baef-39dbc82c8e42,,See description of related tender,active,2022-05-27T00:00:00,77474.77,GBP,2022-05-27T00:00:00,2022-08-25T00:00:00,2022-05-26T20:14:09
255.awards.0,255,e5b1ec74-345a-4c67-a3b5-5defb33ef010,,See description of related tender,active,2022-03-10T00:00:00,206000.0,GBP,2022-04-01T00:00:00,2025-03-31T00:00:00,2022-05-27T08:13:55
256.awards.0,256,ff536a40-b1d6-47d3-8e2f-e92e1e7ac101,,See description of related tender,active,2022-04-28T00:00:00,85470.0,GBP,2022-04-25T00:00:00,2022-09-30T00:00:00,2022-05-27T08:28:07
257.awards.0,257,98dee772-3e09-468f-b2fe-458f555ba0e2,,See description of related tender,active,2022-05-23T00:00:00,149592.0,GBP,2022-09-01T00:00:00,2027-08-31T00:00:00,2022-05-27T08:33:21
259.awards.0,259,44f17b11-4be7-4a5a-bf17-33ffff47c6af,,See description of related tender,active,2022-03-08T00:00:00,40000.0,GBP,2022-04-01T00:00:00,2022-10-31T00:00:00,2022-05-27T08:46:01
258.awards.0,258,68f3320c-a102-4947-8dbd-0e78cbf1df85,,See description of related tender,active,2022-04-27T00:00:00,177600.0,GBP,2022-04-01T00:00:00,2022-12-31T00:00:00,2022-05-27T08:38:41
